person_id,last_name,first_name,position,height_inches,weight_lbs,min,pts,fg_pct,reb,ast,blk,stl
203112,Acy,Quincy,Forward,79,240,18.9,5.9,0.459,4.4,1.0,0.3,0.4
203500,Adams,Steven,Center,84,255,25.3,7.7,0.544,7.5,0.9,1.2,0.5
201167,Afflalo,Arron,Guard,77,215,32.1,13.3,0.424,3.2,1.7,0.1,0.5
201582,Ajinca,Alexis,Center,86,248,14.1,6.5,0.55,4.6,0.7,0.8,0.3
203128,Aldemir,Furkan,Forward,82,240,13.2,2.3,0.513,4.3,0.7,0.4,0.4
202332,Aldrich,Cole,Center,83,250,16.0,5.5,0.478,5.5,1.2,1.1,0.6
200746,Aldridge,LaMarcus,Forward,83,240,35.4,23.4,0.466,10.2,1.7,1.0,0.7
202730,Allen,Lavoy,Forward,81,255,17.0,5.0,0.472,5.1,1.2,0.7,0.2
2754,Allen,Tony,Forward,76,213,26.2,8.6,0.495,4.4,1.4,0.5,2.0
202329,Aminu,Al-Farouq,Forward,81,215,18.5,5.6,0.412,4.6,0.8,0.8,0.9
200811,Amundson,Lou,Forward,81,225,17.7,4.9,0.427,5.1,1.3,1.0,0.4
2365,Andersen,Chris,Forward,82,245,18.9,5.3,0.58,5.0,0.7,1.0,0.4
101187,Anderson,Alan,Forward,78,220,23.6,7.4,0.443,2.8,1.1,0.1,0.8
203937,Anderson,Kyle,Forward,81,230,10.9,2.2,0.348,2.2,0.8,0.2,0.5
201583,Anderson,Ryan,Forward,82,240,27.5,13.7,0.399,4.8,0.9,0.3,0.5
203507,Antetokounmpo,Giannis,Forward,83,217,31.4,12.7,0.491,6.7,2.6,1.0,0.9
2546,Anthony,Carmelo,Forward,80,240,35.7,24.2,0.444,6.6,3.1,0.4,1.0
203544,Antic,Pero,Forward,83,260,16.5,5.7,0.365,3.0,0.8,0.2,0.3
2772,Ariza,Trevor,Forward,80,215,35.7,12.8,0.402,5.6,2.5,0.2,1.9
201589,Arthur,Darrell,Forward,81,235,17.0,6.6,0.404,2.9,1.0,0.4,0.8
201600,Asik,Omer,Center,84,255,26.1,7.3,0.517,9.8,0.9,0.7,0.4
201571,Augustin,D.J.,Guard,72,183,23.9,9.5,0.399,2.0,4.3,0.0,0.6
202337,Babbitt,Luke,Forward,81,225,13.2,4.1,0.479,1.8,0.4,0.2,0.3
2571,Barbosa,Leandro,Guard,75,194,14.9,7.1,0.474,1.4,1.5,0.1,0.6
200826,Barea,Jose Juan,Guard,72,185,17.7,7.5,0.42,1.7,3.4,0.0,0.4
200745,Bargnani,Andrea,Center,84,245,27.1,14.8,0.454,4.4,1.6,0.9,0.1
203084,Barnes,Harrison,Forward,80,225,28.3,10.1,0.482,5.5,1.4,0.2,0.7
2440,Barnes,Matt,Forward,79,226,29.9,10.1,0.444,4.0,1.5,0.7,0.9
203115,Barton,Will,Guard,78,175,17.0,6.8,0.425,2.8,1.4,0.3,0.8
101138,Bass,Brandon,Forward,80,250,23.5,10.6,0.504,4.9,1.3,0.4,0.5
201587,Batum,Nicolas,Forward,80,200,33.5,9.4,0.4,5.9,4.8,0.6,1.1
201573,Bayless,Jerryd,Guard,75,200,22.3,7.8,0.426,2.7,3.0,0.2,0.8
203382,Baynes,Aron,Forward,82,260,16.0,6.6,0.566,4.5,0.5,0.3,0.2
203145,Bazemore,Kent,Guard,77,201,17.6,5.2,0.426,3.0,1.0,0.4,0.7
203078,Beal,Bradley,Guard,77,207,33.5,15.3,0.427,3.8,3.1,0.3,1.2
201563,Beasley,Michael,Forward,82,235,21.0,8.8,0.434,3.7,1.3,0.5,0.6
201158,Belinelli,Marco,Guard,77,210,22.4,9.2,0.423,2.5,1.5,0.0,0.5
203461,Bennett,Anthony,Forward,80,245,15.7,5.2,0.421,3.8,0.8,0.3,0.5
201976,Beverley,Patrick,Guard,73,210,30.8,10.1,0.383,4.2,3.4,0.4,1.1
202687,Biyombo,Bismack,Forward,81,245,19.4,4.8,0.543,6.4,0.3,1.5,0.3
204028,Black,Tarik,Center,81,257,19.0,6.0,0.575,5.8,0.7,0.4,0.3
2581,Blake,Steve,Guard,75,172,18.9,4.3,0.373,1.7,3.6,0.1,0.5
202339,Bledsoe,Eric,Guard,73,195,34.6,17.0,0.447,5.2,6.1,0.6,1.6
202711,Bogdanovic,Bojan,Guard,80,216,23.8,9.0,0.453,2.7,0.9,0.1,0.4
101106,Bogut,Andrew,Center,84,260,23.6,6.3,0.563,8.1,2.7,1.7,0.6
2588,Bonner,Matt,Center,82,235,13.0,3.7,0.409,1.6,0.7,0.2,0.1
202344,Booker,Trevor,Forward,80,230,19.8,7.2,0.487,5.0,1.1,0.5,0.5
2430,Boozer,Carlos,Forward,81,258,23.8,11.8,0.499,6.8,1.3,0.2,0.6
2547,Bosh,Chris,Center,83,235,35.4,21.1,0.46,7.0,2.2,0.6,0.9
202340,Bradley,Avery,Guard,74,180,31.5,13.9,0.428,3.1,1.8,0.2,1.1
1882,Brand,Elton,Forward,81,254,13.5,2.7,0.442,2.8,0.6,0.7,0.5
201147,Brewer,Corey,Guard,81,186,26.1,11.5,0.426,3.7,2.2,0.2,1.4
201166,Brooks,Aaron,Guard,72,161,23.0,11.6,0.421,2.0,3.2,0.2,0.7
203485,Brown,Lorenzo,Guard,77,189,18.9,4.2,0.426,2.4,3.1,0.2,1.0
203900,Brown,Markel,Guard,75,190,16.6,4.6,0.362,2.3,0.8,0.3,0.7
977,Bryant,Kobe,Guard,78,212,34.5,22.3,0.373,5.7,5.6,0.2,1.3
201978,Budinger,Chase,Forward,79,209,19.2,6.8,0.433,3.0,1.0,0.1,0.7
203504,Burke,Trey,Guard,73,185,30.1,12.8,0.368,2.7,4.3,0.2,0.9
202692,Burks,Alec,Guard,78,211,33.3,13.9,0.403,4.2,3.0,0.2,0.6
2406,Butler,Caron,Forward,79,228,20.8,5.9,0.407,2.5,1.0,0.1,0.6
202710,Butler,Jimmy,Guard,79,220,38.7,20.0,0.462,5.8,3.3,0.6,1.8
2446,Butler,Rasual,Forward,79,215,20.1,7.7,0.422,2.6,0.8,0.3,0.4
201979,Calathes,Nick,Guard,78,213,14.4,4.2,0.421,1.8,2.5,0.1,1.1
101181,Calderon,Jose,Guard,75,200,30.2,9.1,0.415,3.0,4.7,0.0,0.7
203484,Caldwell-Pope,Kentavious,Guard,77,205,31.5,12.7,0.401,3.1,1.3,0.2,1.1
203477,Canaan,Isaiah,Guard,72,201,20.0,9.2,0.386,1.9,2.1,0.1,0.6
201960,Carroll,DeMarre,Forward,80,212,31.3,12.6,0.487,5.3,1.7,0.2,1.3
1713,Carter,Vince,Guard,78,220,16.5,5.8,0.333,2.0,1.2,0.2,0.7
203487,Carter-Williams,Michael,Guard,78,190,32.6,14.6,0.396,5.3,6.7,0.5,1.7
201956,Casspi,Omri,Forward,81,225,21.1,8.9,0.489,3.9,1.5,0.1,0.5
201596,Chalmers,Mario,Guard,74,190,29.6,10.2,0.403,2.6,3.8,0.1,1.5
2199,Chandler,Tyson,Center,85,240,30.5,10.3,0.666,11.5,1.1,1.2,0.6
201163,Chandler,Wilson,Forward,80,225,31.7,13.9,0.429,6.1,1.7,0.4,0.7
203903,Clarkson,Jordan,Guard,77,185,25.0,11.9,0.448,3.2,3.5,0.2,0.9
202708,Cole,Norris,Guard,74,175,24.4,7.6,0.412,2.1,3.4,0.2,0.8
201954,Collison,Darren,Guard,72,175,34.8,16.1,0.473,3.2,5.6,0.3,1.5
2555,Collison,Nick,Forward,82,255,16.7,4.1,0.419,3.8,1.4,0.4,0.5
201144,Conley,Mike,Guard,73,175,31.8,15.8,0.446,3.0,5.4,0.2,1.3
203142,Copeland,Chris,Forward,80,235,16.6,6.2,0.361,2.2,1.0,0.2,0.2
202326,Cousins,DeMarcus,Center,83,270,34.1,24.1,0.467,12.7,3.6,1.7,1.5
203496,Covington,Robert,Forward,81,215,27.9,13.5,0.396,4.5,1.5,0.4,1.4
203459,Crabbe,Allen,Forward,78,210,13.4,3.3,0.412,1.4,0.8,0.3,0.4
2037,Crawford,Jamal,Guard,77,200,26.6,15.8,0.396,1.9,2.5,0.2,0.9
203109,Crowder,Jae,Forward,78,235,20.1,7.7,0.42,3.6,1.1,0.3,0.9
201967,Cunningham,Dante,Forward,80,230,25.0,5.2,0.457,3.9,0.8,0.6,0.7
201939,Curry,Stephen,Guard,75,190,32.7,23.8,0.487,4.3,7.7,0.2,2.0
2223,Dalembert,Samuel,,,"",17.0,4.0,0.438,5.3,0.9,1.3,0.4
203561,Davies,Brandon,,,"",15.7,5.3,0.401,3.1,1.1,0.3,0.7
203076,Davis,Anthony,Forward,82,220,36.1,24.4,0.535,10.2,2.2,2.9,1.5
202334,Davis,Ed,Forward,82,240,23.3,8.3,0.601,7.6,1.2,1.2,0.6
201175,Davis,Glen,Forward,81,289,12.2,4.0,0.459,2.3,0.5,0.3,0.6
201948,Daye,Austin,Forward,83,220,10.1,3.8,0.355,2.2,0.5,0.1,0.4
201942,DeRozan,DeMar,Guard,79,220,35.0,20.1,0.413,4.6,3.5,0.2,1.2
203473,Dedmon,Dewayne,Center,84,245,14.3,3.7,0.562,5.0,0.2,0.8,0.3
203521,Dellavedova,Matthew,Guard,76,200,20.6,4.8,0.362,1.9,3.0,0.0,0.4
2736,Deng,Luol,Forward,81,220,33.6,14.0,0.469,5.2,1.9,0.3,0.9
2564,Diaw,Boris,Center,80,250,24.5,8.7,0.46,4.3,2.9,0.3,0.4
